,Tweet_ID,Jpg_url,Img_number,Prediction_1,P1_confidence,P1_is_dog,Prediction_2,P2_confidence,P2_is_dog,Prediction_3,P3_confidence,P3_is_dog,Source,Text,Expanded_urls,Name,Retweets_number,Likes_number,Date,Time,Score,Link,Stage
0,666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,Welsh Springer Spaniel,0.465074,True,Collie,0.156665,True,Shetland Sheepdog,0.0614285,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet ,https://twitter.com/dog_rates/status/666020888022790149/photo/1,None,519,2520,"15, Nov 2015",22:32:08,8.0,https://t.co/BLDqew2Ijj,None
1,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Redbone,0.506826,True,Miniature Pinscher,0.07419169999999999,True,Rhodesian Ridgeback,0.07201,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of ,https://twitter.com/dog_rates/status/666029285002620928/photo/1,None,47,131,"15, Nov 2015",23:05:30,7.0,https://t.co/r7mOb2m0UI,None
2,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,German Shepherd,0.596461,True,Malinois,0.13858399999999998,True,Bloodhound,0.11619700000000001,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af ,https://twitter.com/dog_rates/status/666033412701032449/photo/1,None,45,126,"15, Nov 2015",23:21:54,9.0,https://t.co/y671yMhoiR,None
3,666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Rhodesian Ridgeback,0.408143,True,Redbone,0.360687,True,Miniature Pinscher,0.222752,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 ,https://twitter.com/dog_rates/status/666044226329800704/photo/1,None,141,304,"16, Nov 2015",00:04:52,6.0,https://t.co/DWnyCjf2mx,None
4,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,Miniature Pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 ,https://twitter.com/dog_rates/status/666049248165822465/photo/1,None,40,109,"16, Nov 2015",00:24:50,5.0,https://t.co/4B7cOc1EDq,None
5,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,Bernese Mountain Dog,0.651137,True,English Springer,0.263788,True,Greater Swiss Mountain Dog,0.0161992,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with ,https://twitter.com/dog_rates/status/666050758794694657/photo/1,None,59,133,"16, Nov 2015",00:30:50,10.0,https://t.co/fvIbQfHjIe,None
6,666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Box Turtle,0.9330120000000001,False,Mud Turtle,0.04588540000000002,False,Terrapin,0.017885299999999996,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 ,https://twitter.com/dog_rates/status/666051853826850816/photo/1,None,864,1236,"16, Nov 2015",00:35:11,2.0,https://t.co/v5A4vzSDdc,None
7,666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,Chow,0.692517,True,Tibetan Mastiff,0.058279399999999995,True,Fur Coat,0.0544486,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog ,https://twitter.com/dog_rates/status/666055525042405380/photo/1,None,258,443,"16, Nov 2015",00:49:46,10.0,https://t.co/rdivxLiqEt,None
8,666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Shopping Cart,0.962465,False,Shopping Basket,0.014593799999999999,False,Golden Retriever,0.00795896,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare ,https://twitter.com/dog_rates/status/666057090499244032/photo/1,None,143,300,"16, Nov 2015",00:55:59,9.0,https://t.co/yWBqbrzy8O,None
9,666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Miniature Poodle,0.201493,True,Komondor,0.192305,True,Soft-Coated Wheaten Terrier,0.08208610000000001,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog ,https://twitter.com/dog_rates/status/666058600524156928/photo/1,None,58,114,"16, Nov 2015",01:01:59,8.0,https://t.co/pYAJkAe76p,None
10,666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,Golden Retriever,0.77593,True,Tibetan Mastiff,0.0937178,True,Labrador Retriever,0.07242660000000001,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 ,https://twitter.com/dog_rates/status/666063827256086533/photo/1,None,224,484,"16, Nov 2015",01:22:45,10.0,https://t.co/RhUEAloehK,None
11,666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon Setter,0.503672,True,Yorkshire Terrier,0.174201,True,Pekinese,0.109454,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually ,https://twitter.com/dog_rates/status/666071193221509120/photo/1,None,63,150,"16, Nov 2015",01:52:02,9.0,https://t.co/ZoL8kq2XFx,None
