enrollment_id,course_enroll,user_enroll,course_drop_rate
1,4684,1,0.8265342319971621
2,7775,1,0.8369144821658788
3,3005,2,0.8684807256235828
4,2981,2,0.7996706915477497
5,10322,1,0.6959252697696892
6,1481,2,0.8239910313901345
7,2055,1,0.8201720093823299
8,12004,1,0.7687447346251053
9,1187,3,0.8140845070422535
10,4684,1,0.8265342319971621
11,4896,21,0.829657278588395
12,12004,1,0.7687447346251053
13,2004,3,0.8655115511551155
14,8223,1,0.7677590067168736
15,2207,1,0.7635239567233385
16,2992,5,0.8740947075208914
17,2151,2,0.9383561643835616
18,9382,2,0.6922939707456297
19,4684,1,0.8265342319971621
20,4307,1,0.7825920245398773
21,2392,1,0.779887482419128
22,8223,3,0.7677590067168736
23,3005,1,0.8684807256235828
24,4684,1,0.8265342319971621
25,5890,14,0.7286077379271392
26,3005,1,0.8684807256235828
27,12004,6,0.7687447346251053
28,4307,2,0.7825920245398773
29,5890,1,0.7286077379271392
30,761,6,0.8755458515283843
31,1235,4,0.8134920634920635
32,4896,2,0.829657278588395
33,4684,3,0.8265342319971621
34,5890,1,0.7286077379271392
35,10322,1,0.6959252697696892
36,1481,1,0.8239910313901345
37,5890,1,0.7286077379271392
38,7775,1,0.8369144821658788
39,4010,2,0.8351239669421487
40,8223,2,0.7677590067168736
41,2981,1,0.7996706915477497
42,8223,1,0.7677590067168736
43,2796,4,0.666865671641791
44,4684,2,0.8265342319971621
45,7775,4,0.8369144821658788
46,4896,10,0.829657278588395
47,7775,1,0.8369144821658788
48,4307,1,0.7825920245398773
49,2981,4,0.7996706915477497
50,1878,1,0.8666092943201377
51,4684,1,0.8265342319971621
52,4896,5,0.829657278588395
53,4684,2,0.8265342319971621
54,8223,4,0.7677590067168736
55,12004,3,0.7687447346251053
56,2981,2,0.7996706915477497
57,10322,1,0.6959252697696892
58,12004,1,0.7687447346251053
59,4896,6,0.829657278588395
60,9382,1,0.6922939707456297
61,12004,1,0.7687447346251053
62,1240,1,0.8834269662921348
63,9382,1,0.6922939707456297
64,2269,1,0.8274831964152353
65,4896,3,0.829657278588395
66,4010,2,0.8351239669421487
67,4684,1,0.8265342319971621
68,4010,1,0.8351239669421487
69,7775,1,0.8369144821658788
70,10322,1,0.6959252697696892
71,9382,1,0.6922939707456297
72,2981,2,0.7996706915477497
73,8223,1,0.7677590067168736
74,9382,1,0.6922939707456297
75,5890,3,0.7286077379271392
76,1878,2,0.8666092943201377
77,5890,2,0.7286077379271392
78,3005,4,0.8684807256235828
79,1933,1,0.8434256055363322
80,2796,2,0.666865671641791
81,12004,1,0.7687447346251053
82,2796,1,0.666865671641791
83,10322,4,0.6959252697696892
84,4307,1,0.7825920245398773
85,4010,2,0.8351239669421487
86,2004,3,0.8655115511551155
87,10322,1,0.6959252697696892
88,8223,1,0.7677590067168736
89,12004,1,0.7687447346251053
90,1476,1,0.7977401129943503
91,4896,1,0.829657278588395
92,1430,1,0.8954171562867215
93,7775,7,0.8369144821658788
94,10322,1,0.6959252697696892
95,8223,2,0.7677590067168736
96,8223,3,0.7677590067168736
97,9382,1,0.6922939707456297
98,9382,5,0.6922939707456297
99,5890,4,0.7286077379271392
100,8223,3,0.7677590067168736
101,4684,2,0.8265342319971621
102,12004,2,0.7687447346251053
103,2981,5,0.7996706915477497
104,7775,1,0.8369144821658788
105,12004,1,0.7687447346251053
106,1476,1,0.7977401129943503
107,1933,2,0.8434256055363322
108,898,3,0.8837638376383764
109,7775,1,0.8369144821658788
110,2992,2,0.8740947075208914
111,7775,1,0.8369144821658788
112,2207,5,0.7635239567233385
113,9382,1,0.6922939707456297
114,1476,1,0.7977401129943503
115,4010,1,0.8351239669421487
116,12004,2,0.7687447346251053
117,12004,1,0.7687447346251053
118,12004,1,0.7687447346251053
119,5890,7,0.7286077379271392
120,12004,1,0.7687447346251053
121,12004,1,0.7687447346251053
122,2796,1,0.666865671641791
123,4684,3,0.8265342319971621
124,10322,1,0.6959252697696892
125,12004,2,0.7687447346251053
126,1038,2,0.7970540098199672
127,10322,1,0.6959252697696892
128,4010,1,0.8351239669421487
129,2008,1,0.8115823817292006
130,1476,1,0.7977401129943503
131,7775,2,0.8369144821658788
132,4684,1,0.8265342319971621
133,1481,1,0.8239910313901345
134,5890,3,0.7286077379271392
135,1038,1,0.7970540098199672
136,10322,1,0.6959252697696892
137,8223,5,0.7677590067168736
138,12004,1,0.7687447346251053
139,7775,2,0.8369144821658788
140,2055,2,0.8201720093823299
141,8223,5,0.7677590067168736
142,1240,3,0.8834269662921348
143,4307,1,0.7825920245398773
144,645,8,0.8934010152284264
145,9382,1,0.6922939707456297
146,1235,4,0.8134920634920635
147,2796,1,0.666865671641791
148,9382,2,0.6922939707456297
149,12004,1,0.7687447346251053
150,10322,1,0.6959252697696892
151,2207,2,0.7635239567233385
152,12004,1,0.7687447346251053
153,1185,1,0.884180790960452
154,12004,1,0.7687447346251053
155,7775,2,0.8369144821658788
156,2796,2,0.666865671641791
157,7775,2,0.8369144821658788
158,12004,1,0.7687447346251053
159,2055,1,0.8201720093823299
160,10322,1,0.6959252697696892
161,10322,5,0.6959252697696892
162,2796,4,0.666865671641791
163,4010,2,0.8351239669421487
164,4307,1,0.7825920245398773
165,1402,1,0.8434466019417476
166,5890,2,0.7286077379271392
167,7775,3,0.8369144821658788
168,12004,2,0.7687447346251053
169,12004,2,0.7687447346251053
170,3005,2,0.8684807256235828
171,10322,1,0.6959252697696892
172,1481,1,0.8239910313901345
173,4896,1,0.829657278588395
174,7775,3,0.8369144821658788
175,4307,1,0.7825920245398773
176,1187,4,0.8142458100558659
177,2151,1,0.9383561643835616
178,10322,1,0.6959252697696892
179,12004,5,0.7687447346251053
180,8223,1,0.7677590067168736
181,8223,5,0.7677590067168736
182,4896,3,0.829657278588395
183,10322,1,0.6959252697696892
184,2796,1,0.666865671641791
185,10322,1,0.6959252697696892
186,769,2,0.9129511677282378
187,3005,1,0.8684807256235828
188,8223,1,0.7677590067168736
189,2004,2,0.8655115511551155
190,2151,2,0.9383561643835616
191,8223,2,0.7677590067168736
192,7775,1,0.8369144821658788
193,9382,1,0.6922939707456297
